time,float,internal
0,0.69375,799839293821000128
1,0.7861054687,906317899810920714
2,0.6221315448,717268836671103064
3,0.8698103773,1002823088974402087
4,0.4189890538,483061490300051048
5,0.9007177384,1038456850174768516
6,0.3308735883,381471275264425705
7,0.8191661504,944434270653464480
8,0.5480919832,631907033934564301
9,0.9164424963,1056586261675797370
10,0.283329895,326657128885953047
11,0.7513000428,866189975728965267
12,0.6913386675,797059216671800818
13,0.789541203,910279031768678032
14,0.6148137994,708832050687352203
15,0.8762258284,1010219600462378312
16,0.4012802663,462644648444699981
17,0.8889413325,1024879578565009697
18,0.3652811676,421140513297209173
19,0.8578480939,989031515119133868
20,0.4511955443,520193045825192776
21,0.9161870629,1056291767048569655
22,0.2841168161,327564387133025522
23,0.7525594684,867641994621767209
24,0.6889907452,794352246612443401
25,0.7928452435,914088330999792126
26,0.6076941545,700623658988753895
27,0.8820872856,1016977400498431793
28,0.3848344329,443683893404966394
29,0.875926501,1009874499426568981
30,0.4021132837,463605052072134846
31,0.8895473059,1025578218291527859
32,0.363535717,419128145866441430
33,0.8560967481,987012350862995882
34,0.4558218923,525526861876277197
35,0.9177786908,1058126789038502818
36,0.2792055725,321902108794919618
37,0.744624337,858493410958168518
38,0.7035880549,811181798879594388
39,0.7716420444,889642706889490184
40,0.6519792189,751680861991277542
41,0.839538573,967922074779237797
42,0.4984401625,574662382108379171
43,0.9249909976,1066442012649851626
44,0.2567158124,295973180673662117
45,0.706007375,813971085063287558
46,0.7679755573,885415535057311638
47,0.6592996725,760120770398703578
48,0.8311073731,958201563049828114
49,0.5193612577,598782762713726906
50,0.9236130243,1064853317632664050
51,0.2610424209,300961420703595951
52,0.713727319,822871574496600502
53,0.7559863425,871592911484656432
54,0.682542672,786918124398601592
55,0.8017092397,924307822871576256
56,0.5881946784,678142293570222495
57,0.8962202852,1033271639702853522
58,0.3441350966,396760753390936476
59,0.835112688,962819376784662891
60,0.5094880994,587399786164240533
61,0.9246669111,1066068366390203872
62,0.2577346541,297147825221976397
63,0.7078377581,816081373079350013
64,0.7651728253,882184205085177220
65,0.664828479,766495050288308585
66,0.8244768183,950557053886779247
67,0.5354447392,617325754339081362
68,0.9203515807,1061093129206688031
69,0.2712268298,312703244680329164
70,0.7313524954,843192019365297620
71,0.7269612847,838129298113282102
72,0.7344077285,846714463296289281
73,0.7216961623,832059025300370871
74,0.743148003,856791313775967576
75,0.7062524799,814253671803771053
76,0.7676016837,884984488133332271
77,0.6600405538,760974948411241983
78,0.8302319782,957192301470434126
79,0.5215033101,601252380986958521
80,0.9232891483,1064479914063409124
81,0.2620572986,302131494991613251
82,0.7155181021,824936206894285181
83,0.7531422063,868313845673410846
84,0.6879003865,793095148665148643
85,0.7943657455,915841350551596825
86,0.6043905891,696814907313257530
87,0.8846796382,1019966179551802819
88,0.3774798311,435204614798740785
89,0.8694585904,1002417506193542595
90,0.419951295,484170878925840409
91,0.9012911579,1039117957831650846
92,0.3291720044,379509482642233637
93,0.817025845,941966666475799501
94,0.5531300704,637715553029193522
95,0.9145556238,1054410845820213062
96,0.2891314487,333345864885297554
97,0.7604774801,876770840573173767
98,0.6739604847,777023536112435618
99,0.8130296741,937359395119841158
100,0.5624459657,648456048987550505
101,0.9105718551,1049817873211268680
102,0.3012937817,347368080149747781
103,0.7789086036,898020479240183830
104,0.6371769661,734615026402496504
105,0.8553751759,986180434851277755
106,0.457721392,527716835952502350
107,0.9183863214,1058827339513277360
108,0.2773256783,319734738348704930
109,0.741539742,854937115033844784
110,0.7091366463,817578889209885709
111,0.7631688938,879873829267822955
112,0.6687458934,771011521633518091
113,0.8196418468,944982711237503400
114,0.5469676322,630610745479598386
115,0.9168379536,1057042192999081372
116,0.2821106455,325251429850637126
117,0.749339648,863929794420920496
118,0.6949700378,801245901614993105
119,0.7843507322,904294826262072616
120,0.6258352461,721538913619205871
121,0.8664123161,998905391046485564
122,0.4282454542,493733393345769847
123,0.9059497551,1044488954698862928
124,0.3152577466,363467435508692114
125,0.7987201092,920861590109701179
126,0.5948352964,685798404956031037
127,0.8917231862,1028086837569387112
128,0.3572458978,411876478060956751
129,0.8495986854,979520594659084419
130,0.472788809,545088384999983555
131,0.922260339,1063293777686333642
132,0.2652759626,305842361912075056
133,0.7211471171,831426019346658903
134,0.7440476245,857828506776027407
135,0.7046308008,812384002993944519
136,0.7700670709,887826886054557597
137,0.6551359757,755320354774391952
138,0.8359514675,963786423703227887
139,0.5074054625,584998669226312129
140,0.9247970888,1066218451035242248
141,0.2573255035,296676106661280989
142,0.7071036284,815234979118801421
143,0.7662999223,883483659454031766
144,0.6626121,763939739327797191
145,0.8271620282,953652890138382148
146,0.528970527,609861495831966664
147,0.9218946217,1062872134340454006
148,0.2664182343,307159311503747003
149,0.7231263673,833707939350762555
150,0.7407941097,854077459536056056
151,0.710467328,819113060715034433
152,0.7611029643,877491974763144606
153,0.6727533955,775631856994714527
154,0.814578178,939144698647686960
155,0.5588501086,644310308091373487
156,0.9121856594,1051678462965452182
157,0.296381034,341704067603464985
158,0.7715954717,889589012140877394
159,0.6520728292,751788787298174890
160,0.8394332621,967800659610034886
161,0.498704724,574967400785305624
162,0.9249937924,1066445234842699676
163,0.2567070229,295963047058491319
164,0.7059915509,813952841156055729
165,0.7679996795,885443345996995399
166,0.6592518357,760065618291267475
167,0.8311637555,958266567561735506
168,0.5192230981,598623475451314429
169,0.9236327483,1064876057819378829
170,0.26098059,300890134553470993
171,0.7136179702,822745503880836629
172,0.7561592424,871792251514527004
173,0.6822150373,786540387268645163
174,0.8021514167,924817618233511184
175,0.5872067292,677003265731321972
176,0.8968614496,1034010851921696862
177,0.3422536623,394591607267853071
178,0.8329295439,960302382935867290
179,0.5148842997,593621181461186747
180,0.9241802932,1065507334172853172
181,0.2592629918,298909878550079778
182,0.7105690636,819230353929884694
183,0.760944477,877309251328990100
184,0.6730595257,775984801109389909
185,0.814186482,938693103896932069
186,0.5597613617,645360911325189396
187,0.9117857447,1051217392666645944
188,0.2976002517,343109729947085591
189,0.773427065,891700695445917675
190,0.6483792685,747530401829701390
191,0.8435392929,972534590742967366
192,0.4883287907,563004764132948312
193,0.9244959966,1065871315441214786
194,0.2582716507,297766940142182674
195,0.7087993991,817190069635796718
